id,width,height,area_ratio,box_shape,total_corners,circularity,corner/area,classified
0,83,79,0.631081287,0.951807229,461,0.177980541,7.030654263,NUT
1,89,83,0.66941925,0.93258427,317,0.090915144,4.291322594,WASHER
2,83,132,0.359072654,0.628787879,308,0.570149082,2.81124498,BOLT
3,90,89,0.697378277,0.988888889,257,0.005583349,3.208489388,WASHER
4,91,87,0.684350133,0.956043956,343,0.057527133,4.33244916,WASHER
5,81,82,0.693164709,0.987804878,250,0.067893702,3.763926528,NUT
6,93,88,0.660312805,0.946236559,327,0.068899146,3.995601173,WASHER
7,138,58,0.585957021,0.420289855,390,0.548289363,4.872563718,BOLT
8,398,346,0.422284835,0.869346734,2441,0.096542453,1.77259128,NUT
9,390,376,0.609772231,0.964102564,4311,0.01058803,2.9398527,NUT
10,90,85,0.627058824,0.944444444,276,0.105459892,3.607843137,WASHER
11,92,89,0.662677088,0.967391304,369,0.040183135,4.506595017,WASHER
12,83,82,0.693358801,0.987951807,229,0.077966025,3.364678225,NUT
13,103,126,0.330482355,0.817460317,255,0.525666493,1.964863615,BOLT
14,91,89,0.710705025,0.978021978,294,0.017435357,3.630077787,WASHER
15,90,90,0.688765432,1,297,0.006324089,3.666666667,WASHER
16,81,77,0.708834376,0.950617284,274,0.105395115,4.393137726,NUT
17,93,126,0.350315754,0.738095238,368,0.539177453,3.140467657,BOLT
18,922,542,0.43057968,0.587852495,15001,0.320994646,3.001857025,WASHER
19,329,282,0.370508095,0.857142857,1619,0.115499511,1.74502576,WASHER
